model,acc,auc,brier,logloss,ece,test_season
AGG_shipped_elo_x_bestML,0.5609355765285187,0.586077917030992,0.24416874278981854,0.6813193180765945,0.01626790597876373,2023
win_pct_log5,0.5501644736842105,0.5731748051427147,0.24539235315109814,0.6838073564370667,0.015311031438489574,2024
pythagorean,0.555921052631579,0.5792041340097781,0.24536049165201115,0.6840734177155176,0.015898432732396425,2024
pythagenpat,0.5546875,0.5793399785358874,0.2453797815195328,0.684139954589465,0.015882606361160404,2024
run_differential,0.5579769736842105,0.5798952133944736,0.2459065343846816,0.6862163247742604,0.016015470706683074,2024
recent_form_10,0.5345394736842105,0.543473974763407,0.2481539617097574,0.6894549896336951,0.008980773289177096,2024
elo_basic,0.5649671052631579,0.5864784220625061,0.24419701116032802,0.6814357641835741,0.016785360315740426,2024
elo_margin_of_victory,0.5629111842105263,0.5876417390267434,0.243985665618517,0.6809970294618126,0.013090028445691078,2024
elo_plus_pitcher,0.5670230263157895,0.5916032499701888,0.2434180618622357,0.6798091567801764,0.010678416690556122,2024
glicko,0.555921052631579,0.5809470768697085,0.24466591353044906,0.682356349470729,0.010287756242681545,2024
bradley_terry,0.5497532894736842,0.5692719004412068,0.24615596777629536,0.6854227660978303,0.006010069187581118,2024
massey,0.5460526315789473,0.5671674959619283,0.2464046445638188,0.6859091629204102,0.009860087058404762,2024
colley,0.5444078947368421,0.5693742072912941,0.246236789203212,0.6855784508398106,0.010051324923632633,2024
kalman_state_space,0.5493421052631579,0.563857767732284,0.24632072901685556,0.6856951651677528,0.013975894752719608,2024
bayes_hierarchical,0.548108552631579,0.5675845149435754,0.24632171415326523,0.6857524864577341,0.01740395472891539,2024
poisson_skellam,0.5509868421052632,0.5640860949407569,0.24646552396150814,0.6860152484186327,0.011907498746298904,2024
dixon_coles,0.5509868421052632,0.5640833848255228,0.24646556658415592,0.6860153371966053,0.011907729854444285,2024
negative_binomial,0.5485197368421053,0.564225665875313,0.24638455884889182,0.6858442685841293,0.013930048225608692,2024
starter_quality_only,0.5365953947368421,0.5576339880971739,0.24713819973133155,0.6873761466202446,0.013409352345661691,2024
starter_plus_offense,0.5394736842105263,0.5637107439808341,0.24657083742620547,0.6862190183998018,0.012316045266568834,2024
poisson_pitcher_adj,0.5513980263157895,0.5744380576062094,0.24527664716752062,0.6835816114423863,0.012959659051756259,2024
rest_advantage,0.5226151315789473,0.5044273119993062,0.24941090505972383,0.6918116786269186,0.00919907363585756,2024
streak_momentum,0.5164473684210527,0.4991280204234284,0.2504179679013416,0.6940045074535705,0.017010432539460125,2024
head_to_head,0.5160361842105263,0.5401195296324,0.24886437933970104,0.6908659913365099,0.015282460364159561,2024
SHIPPED_elo_v2,0.5682565789473685,0.588714944659447,0.24385411637675922,0.6807345966032725,0.009093049804692277,2024
ML_logistic,0.5616776315789473,0.5833726300042278,0.24453838567998717,0.6819938260899283,0.017994127992206985,2024
ML_random_forest,0.5629111842105263,0.5874513534315479,0.24380524508797943,0.6806662638688781,0.010534855917547993,2024
ML_extra_trees,0.5604440789473685,0.5889995067590273,0.24378888466306764,0.6805971628131335,0.008359999246694885,2024
ML_hist_gbm,0.5625,0.580743818227151,0.24475731392477873,0.6826054305607684,0.01492592441326892,2024
ML_xgboost,0.5657894736842105,0.5786590620833197,0.24554830557637636,0.6844180024743668,0.01666687125046003,2024
ML_lightgbm,0.5546875,0.5718451548559845,0.24728731312754293,0.6882526293229203,0.03132059655748289,2024
ML_neural_net,0.5509868421052632,0.575120329116394,0.24618937023630125,0.6870025243358671,0.03506236487828175,2024
AGG_mean_prob_all,0.5518092105263158,0.589547627565124,0.24410907214099078,0.6812491391164242,0.012199700750447054,2024
AGG_logit_mean_all,0.5522203947368421,0.5897034591910848,0.24400087927030154,0.6810076506992822,0.011555268137688889,2024
AGG_median_all,0.5579769736842105,0.5886424490769347,0.24412949189020725,0.6812766185616796,0.013483601135630503,2024
AGG_trimmed_mean_all,0.5567434210526315,0.5894764870402289,0.24410128949403403,0.6812264806554181,0.014382533937861347,2024
AGG_rank_mean_all,0.5707236842105263,0.5881766480210738,0.2661215255984725,0.7440631992807606,0.11967864164506314,2024
AGG_logit_mean_top3,0.5629111842105263,0.589382310535844,0.24372310875444386,0.6804478673543876,0.01275861421298366,2024
AGG_logit_mean_top5,0.5625,0.589941271802877,0.24363162250354095,0.6802618661373999,0.009422483644568965,2024
AGG_logit_mean_top10,0.5571546052631579,0.5842317365334374,0.24415677487858897,0.6813069564170595,0.010507431546539997,2024
AGG_inv_logloss_weighted,0.5522203947368421,0.5895442399210814,0.24410678847313053,0.6812444341439042,0.012177001610976627,2024
AGG_bayesian_model_avg,0.5542763157894737,0.5894297375524408,0.24390603081887308,0.6808280270531107,0.014832018965990321,2024
AGG_diverse_families,0.5579769736842105,0.5875028456209958,0.24404496167882334,0.6811067845632494,0.016337121579157062,2024
AGG_logistic_stack_top10,0.5583881578947368,0.585374727633419,0.24409021600095251,0.6811524694456758,0.011159413040118986,2024
AGG_ridge_stack_top10,0.5579769736842105,0.5876071850575086,0.24387798316318443,0.6807424781529446,0.013647451145981223,2024
AGG_nnls_weights_top10,0.5555098684210527,0.5880496113694754,0.24381252273455525,0.6806051164742106,0.011154054583440364,2024
AGG_shipped_elo_x_bestML,0.5633223684210527,0.5899121380641105,0.24366873105817896,0.6803540592967529,0.008772994942601076,2024
win_pct_log5,0.5550534100246508,0.5532551644010056,0.24541368583854123,0.6837082493746358,0.01531415878799712,2025
pythagorean,0.551355792933443,0.5535061738808651,0.24627974225890498,0.6859162281084829,0.016512811820539847,2025
pythagenpat,0.5525883319638455,0.553440870601552,0.24623088851217084,0.6857822798525395,0.017205177921835797,2025
run_differential,0.5534100246507806,0.5530500712894133,0.24639347030667366,0.6865796212114121,0.018724580738661515,2025
recent_form_10,0.5447822514379622,0.5431154698026752,0.24711890466768696,0.6873518926191801,0.016475903211973487,2025
elo_basic,0.5562859490550535,0.57222338619271,0.24360520915274364,0.6800104820509177,0.021260394453404354,2025
elo_margin_of_victory,0.565735414954807,0.576449052558256,0.24296224027966598,0.6786841144007278,0.019112726576815176,2025
elo_plus_pitcher,0.5665571076417419,0.5845323741007195,0.24200344971761548,0.6767399297541685,0.017632906267099808,2025
glicko,0.557518488085456,0.5651781146943262,0.24405159975862908,0.680933396180739,0.014844764318746519,2025
bradley_terry,0.5562859490550535,0.5725376582244038,0.24432879315164774,0.6816783200650745,0.016430884431594964,2025
massey,0.5628594905505341,0.5732730003591681,0.24429173972216928,0.6816200913152815,0.015636856940241948,2025
colley,0.5616269515201314,0.5726709857530012,0.2443622197401049,0.6817585334556406,0.014299882102742988,2025
kalman_state_space,0.5591618734593262,0.5759157424438663,0.24347230582145968,0.6798503975688284,0.020977880370539586,2025
bayes_hierarchical,0.5583401807723911,0.5733913625529229,0.24400810547989332,0.6810176666358111,0.014542925858253824,2025
poisson_skellam,0.5583401807723911,0.5730614449438935,0.24413692343030824,0.681255941662564,0.018556108504072886,2025
dixon_coles,0.5583401807723911,0.5730587239739222,0.24413700931448737,0.6812561196980114,0.01855680334935691,2025
negative_binomial,0.5566967953985209,0.5729206347478749,0.2441159596456214,0.681207332675436,0.017189716309966577,2025
starter_quality_only,0.5579293344289236,0.5696823403606918,0.24483071871946116,0.6827226351614043,0.015642106975868812,2025
starter_plus_offense,0.5583401807723911,0.574767493115946,0.24422889121271507,0.6814955317145122,0.014068661752170603,2025
poisson_pitcher_adj,0.571076417419885,0.5779108936753774,0.24359053972726982,0.6801920531490415,0.016641937281798948,2025
rest_advantage,0.5439605587510271,0.4980857976251374,0.24827520827622188,0.6895372008524822,0.015513366681625252,2025
streak_momentum,0.5521774856203779,0.5359630601116686,0.24731420599646706,0.6877589329322968,0.02045158150708412,2025
head_to_head,0.5488907148726376,0.5371854558713091,0.24758607402311794,0.6883099310646797,0.019972573423848908,2025
SHIPPED_elo_v2,0.5677896466721446,0.5777156640799312,0.24287094574715232,0.6785534281832557,0.01686464013837883,2025
ML_logistic,0.5603944124897289,0.5754824279759249,0.2430081256729259,0.6785970527429767,0.022333895872851325,2025
ML_random_forest,0.5554642563681184,0.5706132522121485,0.24463694900027844,0.6821878206662203,0.026400893879151295,2025
ML_extra_trees,0.557518488085456,0.5764823844404053,0.2433964324269616,0.6796924979115132,0.020440129407293714,2025
ML_hist_gbm,0.5435497124075596,0.5671855102907084,0.24499815945468295,0.6829906023729565,0.02653641501198377,2025
ML_xgboost,0.5439605587510271,0.5609993850607865,0.2469492078503369,0.6869360646485498,0.03661426032480882,2025
ML_lightgbm,0.5509449465899754,0.5650032923736653,0.24652082592606073,0.6860653909508793,0.0334337131807343,2025
ML_neural_net,0.5603944124897289,0.571922719010873,0.24541782294279887,0.6842105017202376,0.030922443348260144,2025
AGG_mean_prob_all,0.5682004930156122,0.5796747624593215,0.24315353508001894,0.6792618108252858,0.01986272437845457,2025
AGG_logit_mean_all,0.5686113393590797,0.5800454946179214,0.24301358606991766,0.6789564705622024,0.019727345149450116,2025
AGG_median_all,0.5694330320460148,0.5774476485377508,0.24319995962291083,0.6793435122662229,0.019893171126306963,2025
AGG_trimmed_mean_all,0.5694330320460148,0.578709498361976,0.24314193295617498,0.6792328769322924,0.020439883439805618,2025
AGG_rank_mean_all,0.5571076417419885,0.5796458521533756,0.26869634283940863,0.7469877804344658,0.1468637869042698,2025
AGG_logit_mean_top3,0.5653245686113394,0.5783387662033762,0.24269468625381427,0.6781411016320767,0.01831582586638815,2025
AGG_logit_mean_top5,0.5636811832374692,0.5782061189172716,0.24275439183531997,0.6782990744365608,0.018626085179827216,2025
AGG_logit_mean_top10,0.5628594905505341,0.5756436454467289,0.2430890784456455,0.6790083388996647,0.016562332913808323,2025
AGG_inv_logloss_weighted,0.5682004930156122,0.5796645588219288,0.2431504943349319,0.679255159267485,0.01979852669158255,2025
AGG_bayesian_model_avg,0.5669679539852095,0.578544199436215,0.24291464318843622,0.6787220392007958,0.017646677193289457,2025
AGG_diverse_families,0.5649137222678718,0.583780706146127,0.24246388789432569,0.677810488786707,0.020321697157777992,2025
AGG_logistic_stack_top10,0.565735414954807,0.5780340175665821,0.24265935881478556,0.6780619006112979,0.016291281472203066,2025
AGG_ridge_stack_top10,0.5636811832374692,0.5777503564470663,0.24274788940854602,0.6782404400271203,0.019120106554086806,2025
AGG_nnls_weights_top10,0.5636811832374692,0.5784319594248958,0.2426111196852776,0.6779863805889053,0.01655407444938701,2025
AGG_shipped_elo_x_bestML,0.5624486442070665,0.5778979690680134,0.24298221358360672,0.6788161638876019,0.016017854171949127,2025
win_pct_log5,0.5281359906213364,0.531162200724981,0.2498097428236591,0.6928478545398117,0.023342872267002667,2026
pythagorean,0.5310668229777257,0.5286342702261985,0.2507554120842675,0.6950090270234416,0.01881272842302579,2026
pythagenpat,0.5316529894490035,0.528389809499675,0.25076359358818456,0.6950052387583994,0.01849294750421843,2026
run_differential,0.5287221570926143,0.5272184638776567,0.2504644688878008,0.6941912862396181,0.019210085274999806,2026
recent_form_10,0.5205158264947245,0.5320395048534062,0.24922616165744269,0.6916116572180601,0.02001514036847196,2026
elo_basic,0.5504103165298945,0.5510819625169401,0.24793508465201305,0.6890511376007711,0.013953630321739711,2026
elo_margin_of_victory,0.5492379835873388,0.5557687222485429,0.24736419054071315,0.68788341853466,0.009762272906736095,2026
elo_plus_pitcher,0.5480656506447831,0.5518917817124095,0.24753518100373598,0.6881734883762293,0.011101547128432938,2026
glicko,0.5386869871043376,0.5410239530194687,0.24886861734435334,0.6909474509998452,0.012632196273309663,2026
bradley_terry,0.5439624853458382,0.5560496799286037,0.24688005052638795,0.6868763324747582,0.007569298287500463,2026
massey,0.5439624853458382,0.5619993719769505,0.24643679389993667,0.6859808661683467,0.008590424073925794,2026
colley,0.5527549824150059,0.5563747094016153,0.2468718499545255,0.6868600841592007,0.009474834316299212,2026
kalman_state_space,0.5316529894490035,0.5363771333502275,0.24874058712552366,0.6906036989107852,0.025013091165440048,2026
bayes_hierarchical,0.5486518171160609,0.5615297319333193,0.24651627779869897,0.6861416295347998,0.009304826310385027,2026
poisson_skellam,0.5304806565064478,0.5374472515728121,0.24880443190129817,0.6907428142403382,0.026063216717377116,2026
dixon_coles,0.5304806565064478,0.5374472515728121,0.24880441510194942,0.6907427897305037,0.026063074625537423,2026
negative_binomial,0.5304806565064478,0.5376428201540309,0.24869970558686633,0.6905260165631992,0.025202089052385364,2026
starter_quality_only,0.5228604923798359,0.5187642544705325,0.2502038416457864,0.6935989369464003,0.022834022424482497,2026
starter_plus_offense,0.5146541617819461,0.518904044688798,0.2502603237480498,0.6937079878241534,0.03294696939490045,2026
poisson_pitcher_adj,0.5128956623681126,0.5206200901268165,0.2502546923718578,0.6936654382853434,0.037806463784238215,2026
rest_advantage,0.5228604923798359,0.4934567159903483,0.24974052719724898,0.6926302194494646,0.008312847786458048,2026
streak_momentum,0.5193434935521688,0.5044870594197949,0.24983746738279144,0.6928232169136247,0.014540567146453664,2026
head_to_head,0.5252051582649473,0.5351871949405582,0.2487781526811436,0.6906982635496836,0.008165433923953571,2026
SHIPPED_elo_v2,0.5527549824150059,0.5586375205209286,0.24701614450312345,0.6871635177960286,0.009121634905867267,2026
ML_logistic,0.5375146541617819,0.5513216028911097,0.24759923411118437,0.6883041161413749,0.02455986738962524,2026
ML_random_forest,0.5509964830011723,0.5621660184440453,0.24682338888305852,0.6868074016353647,0.009834002434733334,2026
ML_extra_trees,0.5533411488862837,0.559309615363427,0.24681505011326027,0.6867476860464956,0.009758779769542557,2026
ML_hist_gbm,0.5592028135990621,0.5575921926818788,0.24709164979302095,0.6873133988992575,0.014612380798659307,2026
ML_xgboost,0.5550996483001173,0.5598591355317812,0.2473092217092026,0.6878412667692476,0.015596138057926732,2026
ML_lightgbm,0.5451348182883939,0.5611096726567578,0.24695272630439152,0.6871343082955949,0.028034926466556087,2026
ML_neural_net,0.522274325908558,0.5302924714359692,0.25093551060557145,0.6951311952781334,0.04684421959585467,2026
AGG_mean_prob_all,0.5515826494724502,0.5542826764799859,0.2470805509427655,0.6872624026992263,0.010814646488110632,2026
AGG_logit_mean_all,0.552168815943728,0.5541904011634954,0.24706513625885365,0.6872285052994903,0.010577432404139438,2026
AGG_median_all,0.5480656506447831,0.5566053976928417,0.24702153930769455,0.6871610414051038,0.008702913122881328,2026
AGG_trimmed_mean_all,0.5515826494724502,0.5556323751391016,0.24703226251589513,0.687171636726118,0.009340049835484622,2026
AGG_rank_mean_all,0.5339976553341149,0.5536333061557277,0.27540670101024567,0.7621013867856751,0.14699723803714318,2026
AGG_logit_mean_top3,0.5509964830011723,0.5540747127069997,0.24745208504585292,0.6880374141769456,0.009489281732827865,2026
AGG_logit_mean_top5,0.5550996483001173,0.5568636308546623,0.24714103102067564,0.6874081182843093,0.008706643579534734,2026
AGG_logit_mean_top10,0.5439624853458382,0.5548156697259836,0.24731368390004688,0.6877532347156153,0.011805389456501872,2026
AGG_inv_logloss_weighted,0.5515826494724502,0.5543005806458722,0.2470797162480728,0.6872607163499461,0.01126918417930451,2026
AGG_bayesian_model_avg,0.5533411488862837,0.5557645905179538,0.24702365841238544,0.6871524947471139,0.010403894690430793,2026
AGG_diverse_families,0.5492379835873388,0.5580218926631483,0.24683520264110975,0.6867708164359392,0.009317287776975164,2026
AGG_logistic_stack_top10,0.5422039859320047,0.5499884311543505,0.24777992116678063,0.6886713597369585,0.016558530835374202,2026
AGG_ridge_stack_top10,0.5416178194607268,0.5537469287469288,0.24745654709802453,0.6880346086897704,0.017691197038458905,2026
AGG_nnls_weights_top10,0.5445486518171161,0.5532841749209462,0.24734741119754727,0.6877967311622473,0.013244303987673626,2026
AGG_shipped_elo_x_bestML,0.5539273153575616,0.5604706316589725,0.24676168196956416,0.6866426719669925,0.008070662240364387,2026
