league,market,model,auc_discover,auc_confirm,logloss_confirm
laliga,ga1,"MLP (32,16)",0.7471823776303103,0.7401967186470586,0.3686820237581681
laliga,ga1,own-rate baseline,,0.7216116312467237,0.37802543204362116
laliga,card1,logistic,0.6305897673705743,0.6125166713420246,0.442067980050294
laliga,card1,logistic L1,0.6303377636214658,0.6129401603401692,0.4419797632787856
laliga,card1,gaussian NB,0.6120652812519035,0.6051326817360835,0.7205298395591113
laliga,card1,kNN (k=150),0.6097170533344075,0.6037147564138529,0.4438166822664911
laliga,card1,random forest,0.6271943484352188,0.6147785602850492,0.44182935268626855
laliga,card1,extra trees,0.6282013809608957,0.6193394949629171,0.4411673353320614
laliga,card1,hist-GBM,0.6300940494693675,0.6118824836485509,0.4423415978577419
laliga,card1,gradient boosting,0.6298653179963098,0.6133154808482576,0.4434885724319378
laliga,card1,"MLP (32,16)",0.592457375506218,0.5918866545599504,0.4517722729340754
laliga,card1,own-rate baseline,,0.5974116357354831,0.45413410278115257
laliga,foul2,logistic,0.6969042429210236,0.6655976726826929,0.5369859370219219
laliga,foul2,logistic L1,0.6969838077073665,0.6658316861468973,0.5368268867638133
laliga,foul2,gaussian NB,0.6594084310434702,0.6416715393725226,5.666766864031118
laliga,foul2,kNN (k=150),0.6589874245660953,0.6385438713012455,0.5435454264502781
laliga,foul2,random forest,0.6936442809136861,0.6640465721220493,0.5365714380403551
laliga,foul2,extra trees,0.6914495711896863,0.6604284556135337,0.5371864005490771
laliga,foul2,hist-GBM,0.6934277196846715,0.6614734391628551,0.5381292430872897
laliga,foul2,gradient boosting,0.6930273199145508,0.6639223269500887,0.5377132795802165
laliga,foul2,"MLP (32,16)",0.6807193915984164,0.6525101320503287,0.5462739158338681
laliga,foul2,own-rate baseline,,0.6457488554437658,0.5682461959940228
