game_id,season,week,top1_id,top1_p,top1_conf,top1_hit,top2_hit,vol_top1_hit,n_scorers,n_scorers_covered,recall_at2,recall_at3
2022_08_CIN_CLE,2022,8,3116385,0.6958336858952393,100.0,0,1,0,5,5,0.2,0.2
2022_09_PHI_HOU,2022,9,4040715,0.5019644842372362,65.1,0,0,0,6,5,0.0,0.0
2022_09_BUF_NYJ,2022,9,4243537,0.34974597222594606,43.8,0,0,0,3,3,0.0,0.0
2022_09_CAR_CIN,2022,9,3125116,0.5073316309776923,64.3,0,1,1,5,5,0.2,0.2
2022_09_GB_DET,2022,9,2980453,0.4543942520871882,67.2,0,0,0,3,2,0.0,0.3333333333333333
2022_09_IND_NE,2022,9,4569173,0.3778554402889085,82.6,1,1,1,1,1,1.0,1.0
2022_09_LAC_ATL,2022,9,3068267,0.7881493701426675,100.0,1,1,1,2,2,1.0,1.0
2022_09_LA_TB,2022,9,16737,0.3295985347843996,54.1,0,0,0,2,1,0.0,0.0
2022_09_LV_JAX,2022,9,4047365,0.6633811594187337,97.6,0,1,0,3,3,0.3333333333333333,0.6666666666666666
2022_09_MIA_CHI,2022,9,4035538,0.46083896199219876,67.1,0,1,0,7,7,0.14285714285714285,0.14285714285714285
2022_09_MIN_WAS,2022,9,3116593,0.49420346460583153,93.5,1,1,1,4,2,0.25,0.5
2022_09_SEA_ARI,2022,9,4567048,0.6000996590785608,83.5,1,1,1,4,4,0.5,0.5
2022_09_TEN_KC,2022,9,15847,0.4852894571970041,67.0,0,1,1,3,3,0.3333333333333333,0.3333333333333333
2022_09_BAL_NO,2022,9,3054850,0.5108575684910948,59.7,0,0,0,3,3,0.0,0.3333333333333333
2022_10_ATL_CAR,2022,10,15807,0.5460676692562683,59.2,0,1,0,4,4,0.25,0.25
2022_10_ARI_LA,2022,10,15795,0.41891135743133245,58.1,0,1,1,4,2,0.25,0.25
2022_10_CLE_MIA,2022,10,3128720,0.6071768930405088,89.2,1,1,1,7,7,0.14285714285714285,0.2857142857142857
2022_10_DAL_GB,2022,10,3916148,0.46912651022685103,66.9,1,1,1,5,5,0.2,0.2
